steamid,player,main_role,total_appearances,total_minutes,atk_rating,mid_rating,def_rating,gk_rating,atk_appearances,mid_appearances,def_appearances,gk_appearances,atk_minutes,mid_minutes,def_minutes,gk_minutes,main_role_rating,display_main_role_rating,rating,last_match_at,is_official_rating
STEAM_0:0:573761596,Rfoa Bldo,MID,2,189,6.58,6.58,,,1,1,0,0,89,100,0,0,6.58,,,2026-06-17 22:07:10,False
STEAM_0:0:97705158,Richard,ATK,4,312,6.53,,,,4,0,0,0,312,0,0,0,6.53,,,2025-02-20 19:12:52,False
STEAM_0:0:398800096,rid,ATK,1,97,6.46,,,,1,0,0,0,97,0,0,0,6.46,,,2026-01-10 02:14:52,False
STEAM_0:0:59074100,Roca,DEF,1,9,,,6.2,,0,0,1,0,0,0,9,0,6.2,,,2026-08-22 22:07:36,False
STEAM_0:0:654573574,Ronaldo Prime 2011,DEF,2,141,6.43,,6.43,,1,0,1,0,48,0,93,0,6.43,,,2025-11-09 01:03:37,False
STEAM_0:1:445699118,rorro,ATK,5,417,6.77,6.36,,,4,1,0,0,370,47,0,0,6.77,,,2025-06-22 03:59:21,False
STEAM_0:1:721701255,rzin,MID,16,1032,6.24,7.26,6.81,,1,8,7,0,97,547,388,0,7.26,,,2026-07-17 23:23:18,False
STEAM_0:1:964304997,s1,ATK,1,7,6.18,,,,1,0,0,0,7,0,0,0,6.18,,,2025-09-28 00:13:40,False
STEAM_0:1:929106547,SaltMan,ATK,1,100,6.25,,,,1,0,0,0,100,0,0,0,6.25,,,2026-06-17 22:07:10,False
STEAM_0:1:822672358,samirgoty,DEF,26,2185,6.6,6.19,7.08,,6,2,18,0,525,99,1561,0,7.08,,,2026-04-13 02:25:37,False
STEAM_0:0:935322498,sandia,ATK,14,874,6.64,6.33,6.48,,8,1,5,0,579,58,237,0,6.64,,,2025-06-08 00:30:29,False
STEAM_0:0:196395683,sane,DEF,1,92,,,6.3,,0,0,1,0,0,0,92,0,6.3,,,2025-04-18 22:44:14,False
STEAM_0:0:401630076,santana,ATK,2,102,6.48,,6.19,,1,0,1,0,98,0,4,0,6.48,,,2026-05-24 19:17:35,False
STEAM_0:0:587789640,seantharx,ATK,1,47,6.46,,,,1,0,0,0,47,0,0,0,6.46,,,2026-07-03 00:21:07,False
STEAM_0:0:386833440,Senne Lammens,GK,1,4,,,,6.24,0,0,0,1,0,0,0,4,6.24,,,2026-03-03 20:44:52,False
STEAM_0:1:956256961,sexo,DEF,2,143,6.23,,6.34,,1,0,1,0,69,0,74,0,6.34,,,2025-07-01 03:16:55,False
STEAM_0:1:898024765,sheepey,ATK,8,692,6.91,,6.33,,7,0,1,0,645,0,47,0,6.91,,,2025-11-07 00:36:26,False
STEAM_0:0:9330823,Simao,DEF,6,530,6.42,6.36,6.67,,2,1,3,0,168,93,269,0,6.67,,,2025-06-04 00:49:15,False
